rank_stage1,var_idx,best_iter,stage1_obj,stage1_obj_mean,stage1_obj_p95,stage1_obj_max,csv
71,119,0,1013.9288472911325,1013.9288472911325,1013.9288472911325,1013.9288472911325,design_optimisation\optim_out_v3_3\designs\cand_rank0071.csv
72,178,0,1013.9413655073175,1013.9413655073175,1013.9413655073175,1013.9413655073175,design_optimisation\optim_out_v3_3\designs\cand_rank0072.csv
73,435,0,1013.9515008207612,1013.9515008207612,1013.9515008207612,1013.9515008207612,design_optimisation\optim_out_v3_3\designs\cand_rank0073.csv
74,641,0,1013.9565829075261,1013.9565829075261,1013.9565829075261,1013.9565829075261,design_optimisation\optim_out_v3_3\designs\cand_rank0074.csv
75,170,0,1013.9624664430576,1013.9624664430576,1013.9624664430576,1013.9624664430576,design_optimisation\optim_out_v3_3\designs\cand_rank0075.csv
76,148,0,1013.9641461477574,1013.9641461477574,1013.9641461477574,1013.9641461477574,design_optimisation\optim_out_v3_3\designs\cand_rank0076.csv
77,410,0,1013.9665711646983,1013.9665711646983,1013.9665711646983,1013.9665711646983,design_optimisation\optim_out_v3_3\designs\cand_rank0077.csv
78,487,0,1013.9732826637941,1013.9732826637941,1013.9732826637941,1013.9732826637941,design_optimisation\optim_out_v3_3\designs\cand_rank0078.csv
79,171,0,1013.9836869951184,1013.9836869951184,1013.9836869951184,1013.9836869951184,design_optimisation\optim_out_v3_3\designs\cand_rank0079.csv
80,490,0,1013.9900156226454,1013.9900156226454,1013.9900156226454,1013.9900156226454,design_optimisation\optim_out_v3_3\designs\cand_rank0080.csv
81,440,0,1013.9909414403686,1013.9909414403686,1013.9909414403686,1013.9909414403686,design_optimisation\optim_out_v3_3\designs\cand_rank0081.csv
82,559,0,1013.9940277586679,1013.9940277586679,1013.9940277586679,1013.9940277586679,design_optimisation\optim_out_v3_3\designs\cand_rank0082.csv
83,186,0,1014.0044860455216,1014.0044860455216,1014.0044860455216,1014.0044860455216,design_optimisation\optim_out_v3_3\designs\cand_rank0083.csv
