var_idx,n_iter,stage1_obj_mean,stage1_obj_p95,stage1_obj_max,best_csv,best_iter,best_stage1_obj
598,1,1013.8826469423336,1013.8826469423336,1013.8826469423336,design_optimisation\optim_out_v3_3\candidate_bank\designs\var0598_iter0000_d000598.csv,0,1013.8826469423336
434,1,1013.8901630664094,1013.8901630664094,1013.8901630664094,design_optimisation\optim_out_v3_3\candidate_bank\designs\var0434_iter0000_d000434.csv,0,1013.8901630664094
154,1,1013.893179718926,1013.893179718926,1013.893179718926,design_optimisation\optim_out_v3_3\candidate_bank\designs\var0154_iter0000_d000154.csv,0,1013.893179718926
332,1,1013.8980336374665,1013.8980336374665,1013.8980336374665,design_optimisation\optim_out_v3_3\candidate_bank\designs\var0332_iter0000_d000332.csv,0,1013.8980336374665
535,1,1013.9122297685657,1013.9122297685657,1013.9122297685657,design_optimisation\optim_out_v3_3\candidate_bank\designs\var0535_iter0000_d000535.csv,0,1013.9122297685657
570,1,1013.9185130727877,1013.9185130727877,1013.9185130727877,design_optimisation\optim_out_v3_3\candidate_bank\designs\var0570_iter0000_d000570.csv,0,1013.9185130727877
157,1,1013.9276622491454,1013.9276622491454,1013.9276622491454,design_optimisation\optim_out_v3_3\candidate_bank\designs\var0157_iter0000_d000157.csv,0,1013.9276622491454
119,1,1013.9288472911325,1013.9288472911325,1013.9288472911325,design_optimisation\optim_out_v3_3\candidate_bank\designs\var0119_iter0000_d000119.csv,0,1013.9288472911325
178,1,1013.9413655073175,1013.9413655073175,1013.9413655073175,design_optimisation\optim_out_v3_3\candidate_bank\designs\var0178_iter0000_d000178.csv,0,1013.9413655073175
435,1,1013.9515008207612,1013.9515008207612,1013.9515008207612,design_optimisation\optim_out_v3_3\candidate_bank\designs\var0435_iter0000_d000435.csv,0,1013.9515008207612
641,1,1013.9565829075261,1013.9565829075261,1013.9565829075261,design_optimisation\optim_out_v3_3\candidate_bank\designs\var0641_iter0000_d000641.csv,0,1013.9565829075261
170,1,1013.9624664430576,1013.9624664430576,1013.9624664430576,design_optimisation\optim_out_v3_3\candidate_bank\designs\var0170_iter0000_d000170.csv,0,1013.9624664430576
148,1,1013.9641461477574,1013.9641461477574,1013.9641461477574,design_optimisation\optim_out_v3_3\candidate_bank\designs\var0148_iter0000_d000148.csv,0,1013.9641461477574
410,1,1013.9665711646983,1013.9665711646983,1013.9665711646983,design_optimisation\optim_out_v3_3\candidate_bank\designs\var0410_iter0000_d000410.csv,0,1013.9665711646983
487,1,1013.9732826637941,1013.9732826637941,1013.9732826637941,design_optimisation\optim_out_v3_3\candidate_bank\designs\var0487_iter0000_d000487.csv,0,1013.9732826637941
171,1,1013.9836869951184,1013.9836869951184,1013.9836869951184,design_optimisation\optim_out_v3_3\candidate_bank\designs\var0171_iter0000_d000171.csv,0,1013.9836869951184
490,1,1013.9900156226454,1013.9900156226454,1013.9900156226454,design_optimisation\optim_out_v3_3\candidate_bank\designs\var0490_iter0000_d000490.csv,0,1013.9900156226454
440,1,1013.9909414403686,1013.9909414403686,1013.9909414403686,design_optimisation\optim_out_v3_3\candidate_bank\designs\var0440_iter0000_d000440.csv,0,1013.9909414403686
559,1,1013.9940277586679,1013.9940277586679,1013.9940277586679,design_optimisation\optim_out_v3_3\candidate_bank\designs\var0559_iter0000_d000559.csv,0,1013.9940277586679
186,1,1014.0044860455216,1014.0044860455216,1014.0044860455216,design_optimisation\optim_out_v3_3\candidate_bank\designs\var0186_iter0000_d000186.csv,0,1014.0044860455216
