var_idx,n_iter,stage1_obj_mean,stage1_obj_p95,stage1_obj_max,best_csv,best_iter,best_stage1_obj
1329,1,1011.4072217942302,1011.4072217942302,1011.4072217942302,design_optimisation\optim_out_v5_2\candidate_bank\designs\var1329_iter0000_d001329.csv,0,1011.4072217942302
1461,1,1011.4081386748298,1011.4081386748298,1011.4081386748298,design_optimisation\optim_out_v5_2\candidate_bank\designs\var1461_iter0000_d001461.csv,0,1011.4081386748298
2389,1,1011.4085793999127,1011.4085793999127,1011.4085793999127,design_optimisation\optim_out_v5_2\candidate_bank\designs\var2389_iter0000_d002389.csv,0,1011.4085793999127
1600,1,1011.4092275919243,1011.4092275919243,1011.4092275919243,design_optimisation\optim_out_v5_2\candidate_bank\designs\var1600_iter0000_d001600.csv,0,1011.4092275919243
1824,1,1011.4099900354634,1011.4099900354634,1011.4099900354634,design_optimisation\optim_out_v5_2\candidate_bank\designs\var1824_iter0000_d001824.csv,0,1011.4099900354634
2292,1,1011.4103933718367,1011.4103933718367,1011.4103933718367,design_optimisation\optim_out_v5_2\candidate_bank\designs\var2292_iter0000_d002292.csv,0,1011.4103933718367
635,1,1011.420383006317,1011.420383006317,1011.420383006317,design_optimisation\optim_out_v5_2\candidate_bank\designs\var0635_iter0000_d000635.csv,0,1011.420383006317
758,1,1011.4215277793435,1011.4215277793435,1011.4215277793435,design_optimisation\optim_out_v5_2\candidate_bank\designs\var0758_iter0000_d000758.csv,0,1011.4215277793435
608,1,1011.4219274042716,1011.4219274042716,1011.4219274042716,design_optimisation\optim_out_v5_2\candidate_bank\designs\var0608_iter0000_d000608.csv,0,1011.4219274042716
851,1,1012.2167527523244,1012.2167527523244,1012.2167527523244,design_optimisation\optim_out_v5_2\candidate_bank\designs\var0851_iter0000_d000851.csv,0,1012.2167527523244
981,1,1012.2267087096876,1012.2267087096876,1012.2267087096876,design_optimisation\optim_out_v5_2\candidate_bank\designs\var0981_iter0000_d000981.csv,0,1012.2267087096876
828,1,1012.2279593947318,1012.2279593947318,1012.2279593947318,design_optimisation\optim_out_v5_2\candidate_bank\designs\var0828_iter0000_d000828.csv,0,1012.2279593947318
821,1,1012.2387347609581,1012.2387347609581,1012.2387347609581,design_optimisation\optim_out_v5_2\candidate_bank\designs\var0821_iter0000_d000821.csv,0,1012.2387347609581
1065,1,1012.2397341221513,1012.2397341221513,1012.2397341221513,design_optimisation\optim_out_v5_2\candidate_bank\designs\var1065_iter0000_d001065.csv,0,1012.2397341221513
344,1,1012.2541039595236,1012.2541039595236,1012.2541039595236,design_optimisation\optim_out_v5_2\candidate_bank\designs\var0344_iter0000_d000344.csv,0,1012.2541039595236
935,1,1012.2587080739611,1012.2587080739611,1012.2587080739611,design_optimisation\optim_out_v5_2\candidate_bank\designs\var0935_iter0000_d000935.csv,0,1012.2587080739611
863,1,1012.2591637554967,1012.2591637554967,1012.2591637554967,design_optimisation\optim_out_v5_2\candidate_bank\designs\var0863_iter0000_d000863.csv,0,1012.2591637554967
369,1,1012.260903681087,1012.260903681087,1012.260903681087,design_optimisation\optim_out_v5_2\candidate_bank\designs\var0369_iter0000_d000369.csv,0,1012.260903681087
36,1,1012.2620285015702,1012.2620285015702,1012.2620285015702,design_optimisation\optim_out_v5_2\candidate_bank\designs\var0036_iter0000_d000036.csv,0,1012.2620285015702
73,1,1012.2640003761089,1012.2640003761089,1012.2640003761089,design_optimisation\optim_out_v5_2\candidate_bank\designs\var0073_iter0000_d000073.csv,0,1012.2640003761089
43,1,1012.2652684425178,1012.2652684425178,1012.2652684425178,design_optimisation\optim_out_v5_2\candidate_bank\designs\var0043_iter0000_d000043.csv,0,1012.2652684425178
74,1,1012.2664041612692,1012.2664041612692,1012.2664041612692,design_optimisation\optim_out_v5_2\candidate_bank\designs\var0074_iter0000_d000074.csv,0,1012.2664041612692
300,1,1012.2664518504228,1012.2664518504228,1012.2664518504228,design_optimisation\optim_out_v5_2\candidate_bank\designs\var0300_iter0000_d000300.csv,0,1012.2664518504228
112,1,1012.2691784202531,1012.2691784202531,1012.2691784202531,design_optimisation\optim_out_v5_2\candidate_bank\designs\var0112_iter0000_d000112.csv,0,1012.2691784202531
208,1,1012.270880637397,1012.270880637397,1012.270880637397,design_optimisation\optim_out_v5_2\candidate_bank\designs\var0208_iter0000_d000208.csv,0,1012.270880637397
