var_idx,n_iter,stage1_obj_mean,stage1_obj_p95,stage1_obj_max,best_csv,best_iter
28,4,2034.5002911983477,2043.5065614723833,2044.4676110963799,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0028_iter0000_d000028.csv,0
177,4,2034.5151212904323,2045.7783775177804,2047.6813029828536,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0477_iter0000_d001077.csv,0
219,4,2034.517556538905,2043.8772259634547,2044.6157218106414,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0519_iter0000_d001119.csv,0
62,4,2034.5968014161754,2041.5508170803653,2042.9820327317723,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0362_iter0000_d000662.csv,0
134,4,2034.5979826908435,2036.6335181779168,2036.6436756750716,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0434_iter0000_d001034.csv,0
163,4,2034.8731236338128,2039.2878054661883,2039.7915974795687,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0463_iter0000_d000763.csv,0
78,4,2034.9072313720098,2043.2713309154965,2044.4722335280426,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0078_iter0000_d000078.csv,0
121,4,2034.9150009095242,2044.596633177623,2044.6175938204913,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0421_iter0000_d000421.csv,0
76,4,2034.922053738318,2041.4707157647217,2042.8917956294702,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0376_iter0000_d000676.csv,0
99,4,2034.9449241002276,2044.293580924931,2046.2313771969978,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0399_iter0000_d000399.csv,0
171,4,2034.984966978635,2046.5732898660974,2047.773577125331,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0171_iter0000_d000171.csv,0
83,4,2035.0010609193282,2045.035714747132,2046.245643012314,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0383_iter0000_d000383.csv,0
297,4,2035.0147058514435,2044.156528926904,2044.6409531102465,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0597_iter0000_d001197.csv,0
286,4,2035.296151787833,2039.4455218942487,2039.6631568983944,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0586_iter0000_d000886.csv,0
48,4,2035.3212050458746,2044.3408662108666,2044.5950440070624,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0348_iter0000_d000348.csv,0
60,4,2035.3659340764234,2040.440458182605,2041.4082867733646,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0360_iter0000_d000660.csv,0
294,4,2035.3790443574617,2039.5171406275342,2039.75653347908,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0294_iter0000_d000294.csv,0
254,4,2035.3801143843125,2040.657393046609,2041.371500681484,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0554_iter0000_d000854.csv,0
86,4,2035.382918524105,2050.065866083184,2051.035184767285,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0386_iter0000_d000986.csv,0
220,4,2035.697327771005,2043.2615670088096,2044.4602675761575,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0220_iter0000_d000220.csv,0
218,4,2035.7711286520148,2053.751638157676,2057.3500132333666,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0218_iter0000_d000218.csv,0
41,4,2035.7762778963024,2043.9031127448018,2044.635871625654,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0341_iter0000_d000941.csv,0
282,4,2035.7845649433966,2043.188519832606,2044.6377456513083,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0582_iter0000_d000882.csv,0
184,4,2035.793774814283,2041.1873550130854,2041.4360629004984,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0484_iter0000_d000784.csv,0
94,4,2035.796365402192,2047.027411526313,2049.435733110485,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0394_iter0000_d000994.csv,0
140,4,2035.8038710779454,2044.1561204893533,2044.6438370605752,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0440_iter0000_d001040.csv,0
191,4,2035.812336836887,2047.7605898914658,2049.4451057610186,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0491_iter0000_d000791.csv,0
237,4,2036.1105259288436,2041.2771005704658,2041.2776959860366,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0537_iter0000_d000537.csv,0
2,4,2036.1176705389228,2041.0716549586698,2041.2951402265098,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0302_iter0000_d000902.csv,0
243,4,2036.1196480342023,2046.253190766923,2047.6944712996888,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0243_iter0000_d000243.csv,0
31,4,2036.160897372517,2054.277254451743,2057.4063038879167,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0331_iter0000_d000631.csv,0
14,4,2036.197117613613,2042.07869284818,2043.0476419255112,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0314_iter0000_d000914.csv,0
152,4,2036.2092631944452,2056.989774117841,2060.5890201179923,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0152_iter0000_d000152.csv,0
61,4,2036.478685448454,2048.467724328904,2050.843973937621,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0361_iter0000_d000661.csv,0
9,4,2036.5222015106422,2044.6591969852627,2046.0975348626655,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0009_iter0000_d000009.csv,0
120,4,2036.5545699168017,2047.011150222288,2049.424954713449,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0420_iter0000_d001020.csv,0
95,4,2036.5934329035595,2045.2260624025373,2046.1864177423079,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0395_iter0000_d000695.csv,0
255,4,2036.6167318021758,2046.6420702317253,2047.8481190846312,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0555_iter0000_d001155.csv,0
20,4,2036.9134774862544,2040.5778396210808,2041.2768742883761,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0320_iter0000_d000620.csv,0
18,4,2036.9358363404688,2050.583339632417,2052.502704324974,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0318_iter0000_d000318.csv,0
229,4,2036.957519522709,2045.6560049591583,2046.1362405321827,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0529_iter0000_d000829.csv,0
251,4,2036.9761682821822,2045.0228919408562,2046.234039262908,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0551_iter0000_d001151.csv,0
291,4,2036.9852763966687,2057.6076591971105,2062.1665675205904,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0591_iter0000_d000891.csv,0
49,4,2036.990379947858,2042.765806893075,2043.0091779395782,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0349_iter0000_d000949.csv,0
47,4,2036.9933975498225,2041.3808672512166,2041.3816328322857,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0347_iter0000_d000647.csv,0
150,4,2036.9951411293496,2043.8964148129203,2044.6228476126782,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0450_iter0000_d001050.csv,0
0,4,2037.0351340264954,2045.931939538088,2047.85631759572,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0300_iter0000_d000300.csv,0
106,4,2037.3187591508033,2042.2707797592882,2043.0083843083764,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0406_iter0000_d000406.csv,0
123,4,2037.323005289031,2054.759766802265,2057.4183075587325,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0423_iter0000_d000723.csv,0
182,4,2037.3261543584474,2039.4577518496487,2039.6974638258998,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0482_iter0000_d000482.csv,0
