rep,run_id,loc_space,loc_from_summary_csv,loc_world_x,loc_world_y,loc_world_z,loc_vox_x,loc_vox_y,loc_vox_z,roi_radius_mm,roi_voxels,n_vox_sampled,hrf_latency_mismatch_sd,nuisance_model,prewhiten,ar1_rho,lsa_mean,lsa_p05,lss_mean,lss_p05,rsa_anchor_lsa_mean,rsa_anchor_lsa_p05,rsa_anchor_lsa_null_mean,rsa_anchor_lsa_null_p95,rsa_anchor_lsa_catnull_mean,rsa_cat_lsa_mean,rsa_cat_lsa_rdm_spearman,rsa_cat_lsa_n_cat,rsa_anchor_lss_mean,rsa_anchor_lss_p05,rsa_anchor_lss_null_mean,rsa_anchor_lss_null_p95,rsa_anchor_lss_catnull_mean,rsa_cat_lss_mean,rsa_cat_lss_rdm_spearman,rsa_cat_lss_n_cat
2,3,frac,False,-47.92050784826279,-69.61617004871368,-24.71051049232483,80.0,14.0,23.0,14.229828539513825,253,200,0.0,summed,ar1,0.2023155040221226,0.14529683968789828,0.03364251018747946,0.17578246488219765,0.05612838449484677,0.3645330800886356,-0.3169230769230769,-0.0004795188350743923,0.111997467553023,-0.041544792655903766,0.29629629629629634,0.3873873873873875,9,0.4005444761000316,-0.1351111111111111,-0.00629528331750554,0.09589743589743581,-0.04476100031655588,0.3280423280423281,0.3832689832689833,9
2,4,frac,False,-47.92050784826279,-69.61617004871368,-24.71051049232483,80.0,14.0,23.0,14.229828539513825,253,200,0.0,summed,ar1,0.27187900347284805,0.14538422398495132,0.006971491617564426,0.17923890415415858,0.049071474599578765,0.37192782526115864,-0.40410256410256407,0.004461158594491928,0.12152453308008854,-0.07282051282051281,0.3756613756613757,0.4465894465894466,9,0.3791959480848369,-0.24068376068376066,0.0036293763849319398,0.13854384298828742,-0.11088319088319089,0.3597883597883598,0.5469755469755471,9
2,5,frac,False,-47.92050784826279,-69.61617004871368,-24.71051049232483,80.0,14.0,23.0,14.229828539513825,253,200,0.0,summed,ar1,0.18734451209197706,0.1800111305111649,0.05245308330509922,0.20389538887278286,0.10489180636746821,0.3874770496992718,0.042188034188034185,-0.0021067426400759736,0.1327901234567901,-0.12263374485596709,0.29100529100529104,0.30862290862290864,9,0.40244381133270013,0.020649572649572647,-0.0025073757518201956,0.13108831908831906,-0.150997150997151,0.30952380952380953,0.3302445302445303,9
2,6,frac,False,-47.92050784826279,-69.61617004871368,-24.71051049232483,80.0,14.0,23.0,14.229828539513825,253,200,0.0,summed,ar1,0.18028425433428064,0.14198226987815527,0.05301012639127451,0.16757215080598906,0.05753845323228491,0.4216650838873061,-0.22953846153846155,-0.014258816081038303,0.10670338714783151,0.1867299778410889,0.46560846560846575,0.8208494208494209,9,0.48568534346312126,0.1072136752136752,0.00013459955682177977,0.13915542893320668,0.08816714150047483,0.6322751322751323,0.7863577863577864,9
2,7,frac,False,-47.92050784826279,-69.61617004871368,-24.71051049232483,80.0,14.0,23.0,14.229828539513825,253,200,0.0,summed,ar1,0.24478785998270697,0.14752819951867016,0.05168891656809301,0.18943313813351298,0.10435508529514298,0.4477999366888255,0.0361025641025641,-0.005024881291547957,0.13684203861981634,0.13438429882874325,0.462962962962963,0.5634491634491634,9,0.4934599556821779,-0.1635555555555555,0.002465970243748023,0.15103387147831587,0.13529597974042418,0.5873015873015874,0.5935649935649936,9
2,8,frac,False,-47.92050784826279,-69.61617004871368,-24.71051049232483,80.0,14.0,23.0,14.229828539513825,253,200,0.0,summed,ar1,0.24053721215623047,0.12291903644872487,-0.012280699065971904,0.16286406999108416,0.03829180744869928,0.47636593858816073,-0.1413333333333333,-0.0033206710984488752,0.20639062994618548,-0.07780943336498891,0.49735449735449744,0.5063063063063064,9,0.4463564419119975,-0.14871794871794872,-0.005224817980373537,0.17689775245330788,-0.008572333016777463,0.4153439153439154,0.5093951093951095,9
3,1,frac,False,-47.92050784826279,-69.61617004871368,-24.71051049232483,80.0,14.0,23.0,14.229828539513825,253,200,0.0,summed,ar1,0.2562530097147534,0.12125204788310669,0.020051582170292757,0.15047407906910415,0.05529034688958549,0.4479772079772079,-0.05805128205128203,-0.0073861348528015194,0.11334599556821777,0.015612535612535615,0.4973544973544974,0.47207207207207214,9,0.49910731244064577,0.07897435897435898,-0.0023931623931623914,0.1280405191516299,0.01925925925925925,0.5291005291005292,0.5166023166023166,9
3,2,frac,False,-47.92050784826279,-69.61617004871368,-24.71051049232483,80.0,14.0,23.0,14.229828539513825,253,200,0.0,summed,ar1,0.2609431059043982,0.1226629606445939,0.005179439224406983,0.152312715031955,0.057303124617043524,0.2864070908515353,-0.10728205128205127,0.0024591326369104135,0.11046786957898053,-0.02242481798037354,0.3941798941798942,0.5595881595881597,9,0.3306489395378285,-0.10776068376068373,0.0016444444444444451,0.1137486546375435,-0.03169357391579613,0.4179894179894181,0.5150579150579151,9
3,3,frac,False,-47.92050784826279,-69.61617004871368,-24.71051049232483,80.0,14.0,23.0,14.229828539513825,253,200,0.0,summed,ar1,0.28342271307147465,0.1275281251403666,0.008446399385375131,0.16200556724408188,0.030619702138903138,0.3838809749920861,-0.10023931623931623,-0.015403482114593227,0.1044874960430515,0.01335865780310224,0.38359788359788366,0.6018018018018019,9,0.46031022475466915,0.06420512820512819,-0.002855713833491611,0.10490281734726173,-0.02262741373852485,0.47354497354497366,0.6241956241956241,9
3,4,frac,False,-47.92050784826279,-69.61617004871368,-24.71051049232483,80.0,14.0,23.0,14.229828539513825,253,200,0.0,summed,ar1,0.20464303160016706,0.1384735974077501,0.022945746157682082,0.16660781122449747,0.0609622117133371,0.445900601456157,-0.1575384615384615,0.002464577397910731,0.1485520734409623,-0.1813105413105413,0.37566137566137564,0.5312741312741313,9,0.4512187401076289,-0.022153846153846152,-0.001401329534662868,0.12739474517252294,-0.1847040202595758,0.4285714285714286,0.5196911196911197,9
3,5,frac,False,-47.92050784826279,-69.61617004871368,-24.71051049232483,80.0,14.0,23.0,14.229828539513825,253,200,0.0,summed,ar1,0.2256662022697315,0.16143710249746357,0.07105717620328833,0.18726360250888183,0.0937692119223838,0.49092750870528645,-0.03364102564102563,-0.003543146565368787,0.1460196264640709,-0.1284583729028173,0.568783068783069,0.618018018018018,9,0.5496043051598606,0.06331623931623931,0.006044697689142135,0.16710098132320353,-0.17421968977524535,0.5529100529100529,0.6836550836550838,9
3,6,frac,False,-47.92050784826279,-69.61617004871368,-24.71051049232483,80.0,14.0,23.0,14.229828539513825,253,200,0.0,summed,ar1,0.22034809513584092,0.1513825674809029,0.017263629742120888,0.1948459821836322,0.053082264546094486,0.49090218423551757,-0.019829059829059824,0.0013196581196581202,0.12960050648939533,0.07993668882557768,0.6005291005291006,0.679021879021879,9,0.5615321304210193,0.11521367521367519,0.001644697689142133,0.12791769547325083,-0.02052548274770498,0.5873015873015874,0.6018018018018019,9
3,7,frac,False,-47.92050784826279,-69.61617004871368,-24.71051049232483,80.0,14.0,23.0,14.229828539513825,253,200,0.0,summed,ar1,0.21279396833622816,0.17218628799498195,0.059676664483931434,0.20775926284027857,0.11415778615952313,0.4629439696106362,-0.13285470085470086,-0.002798100664767331,0.12943083254194362,0.14616017727128838,0.425925925925926,0.5122265122265123,9,0.4721114276669833,0.037538461538461534,-0.0008069642291864505,0.1717404241848685,0.17373852484963595,0.3730158730158731,0.46563706563706564,9
3,8,frac,False,-47.92050784826279,-69.61617004871368,-24.71051049232483,80.0,14.0,23.0,14.229828539513825,253,200,0.0,summed,ar1,0.1673662393285617,0.12313166952961989,0.022689117268460807,0.1544434950202237,0.0664631807774057,0.4197150997150996,-0.04622222222222222,0.0027631528964862273,0.18103956948401378,-0.23606204495093383,0.6164021164021165,0.638095238095238,9,0.5264324153213041,0.1537094017094017,0.004945995568217788,0.16607534029756246,-0.181690408357075,0.6534391534391536,0.7915057915057916,9
4,1,frac,False,-47.92050784826279,-69.61617004871368,-24.71051049232483,80.0,14.0,23.0,14.229828539513825,253,200,0.0,summed,ar1,0.3029666113241139,0.141955857999191,0.07052251458663324,0.1657827343381785,0.08032721359474634,0.42394428616650837,-0.007247863247863247,0.0015992402659069328,0.13749287749287736,0.07441595441595439,0.46825396825396837,0.4494208494208495,9,0.4628933206710984,0.017504273504273506,-0.004346185501741055,0.1482380500158278,0.04450775561886672,0.4550264550264551,0.4504504504504505,9
