var_idx,n_iter,stage1_obj_mean,stage1_obj_p95,stage1_obj_max,best_csv,best_iter
80,6,2032.7253856519171,2034.0019405166117,2034.3922513356536,design_optimisation\optim_out_v3_1\candidate_bank\designs\var0380_iter0000_d000680.csv,0
47,6,2032.7974599322158,2036.797082895475,2038.1032163546013,design_optimisation\optim_out_v3_1\candidate_bank\designs\var0347_iter0000_d001247.csv,0
85,6,2032.8191032602483,2042.1389606678742,2043.4696096405864,design_optimisation\optim_out_v3_1\candidate_bank\designs\var0385_iter0000_d000685.csv,0
149,6,2032.998103006422,2036.2487664093424,2036.2489645027608,design_optimisation\optim_out_v3_1\candidate_bank\designs\var0449_iter0000_d001349.csv,0
219,6,2033.0077192530487,2038.834169302812,2039.7055904401875,design_optimisation\optim_out_v3_1\candidate_bank\designs\var0519_iter0000_d001119.csv,0
2,6,2033.017603426605,2036.3601507941164,2036.3890189248284,design_optimisation\optim_out_v3_1\candidate_bank\designs\var0302_iter0000_d001202.csv,0
124,6,2033.0454989900293,2046.4345522450592,2050.421145578974,design_optimisation\optim_out_v3_1\candidate_bank\designs\var0424_iter0000_d001024.csv,0
13,6,2033.0561053678737,2044.279587365223,2045.168352087536,design_optimisation\optim_out_v3_1\candidate_bank\designs\var0313_iter0000_d001513.csv,0
196,6,2033.0724083930302,2046.58872991967,2050.6128752184923,design_optimisation\optim_out_v3_1\candidate_bank\designs\var0496_iter0000_d001096.csv,0
36,6,2033.1233257385495,2038.1918009682784,2038.2147662666594,design_optimisation\optim_out_v3_1\candidate_bank\designs\var0336_iter0000_d000636.csv,0
39,6,2033.2682918517157,2044.172067420528,2044.9932672477835,design_optimisation\optim_out_v3_1\candidate_bank\designs\var0339_iter0000_d000339.csv,0
98,6,2033.296348508724,2050.850827922893,2055.7195990202,design_optimisation\optim_out_v3_1\candidate_bank\designs\var0098_iter0000_d000098.csv,0
236,6,2033.303845245543,2041.1577085243098,2043.3363524923795,design_optimisation\optim_out_v3_1\candidate_bank\designs\var0536_iter0000_d001736.csv,0
263,6,2033.376392362877,2039.947093772881,2041.7493203896627,design_optimisation\optim_out_v3_1\candidate_bank\designs\var0563_iter0000_d001763.csv,0
269,6,2033.3794007033139,2042.9493153807982,2045.157502255461,design_optimisation\optim_out_v3_1\candidate_bank\designs\var0569_iter0000_d001169.csv,0
8,6,2033.3989299027432,2039.4674702189475,2039.91446007458,design_optimisation\optim_out_v3_1\candidate_bank\designs\var0308_iter0000_d001508.csv,0
6,6,2033.6006539280852,2039.289708198411,2039.7073570140894,design_optimisation\optim_out_v3_1\candidate_bank\designs\var0006_iter0000_d000006.csv,0
108,6,2033.602261788159,2046.1372382009959,2048.84155804713,design_optimisation\optim_out_v3_1\candidate_bank\designs\var0408_iter0000_d000408.csv,0
128,6,2033.665731083587,2039.398298713122,2039.83940849815,design_optimisation\optim_out_v3_1\candidate_bank\designs\var0428_iter0000_d001028.csv,0
185,6,2033.6707116681262,2044.4050024967783,2047.0704226783678,design_optimisation\optim_out_v3_1\candidate_bank\designs\var0485_iter0000_d001385.csv,0
200,6,2033.679779242186,2042.6511930354825,2043.542283778255,design_optimisation\optim_out_v3_1\candidate_bank\designs\var0500_iter0000_d001700.csv,0
16,6,2033.6851173271752,2039.8735896709898,2041.6442851348752,design_optimisation\optim_out_v3_1\candidate_bank\designs\var0316_iter0000_d001516.csv,0
215,6,2033.6866690299914,2041.7441973435584,2041.7473636181387,design_optimisation\optim_out_v3_1\candidate_bank\designs\var0515_iter0000_d001715.csv,0
207,6,2033.8658677222913,2043.869131586868,2045.269426306953,design_optimisation\optim_out_v3_1\candidate_bank\designs\var0507_iter0000_d001407.csv,0
216,6,2033.8898365636987,2039.3696813702666,2039.76850055274,design_optimisation\optim_out_v3_1\candidate_bank\designs\var0516_iter0000_d001716.csv,0
228,6,2033.91813765598,2042.1850743884474,2043.517776585405,design_optimisation\optim_out_v3_1\candidate_bank\designs\var0528_iter0000_d000828.csv,0
11,6,2033.971005914356,2041.6731695049734,2043.4223766728933,design_optimisation\optim_out_v3_1\candidate_bank\designs\var0311_iter0000_d001211.csv,0
178,6,2034.1644056590758,2058.091248297628,2066.597973322118,design_optimisation\optim_out_v3_1\candidate_bank\designs\var0478_iter0000_d001378.csv,0
65,6,2034.1767050596861,2044.6494887152257,2046.8096621207897,design_optimisation\optim_out_v3_1\candidate_bank\designs\var0365_iter0000_d000665.csv,0
139,6,2034.1798816989628,2041.1154887727757,2041.506048164464,design_optimisation\optim_out_v3_1\candidate_bank\designs\var0439_iter0000_d000739.csv,0
111,6,2034.2285034606464,2047.785396162176,2050.4343400488337,design_optimisation\optim_out_v3_1\candidate_bank\designs\var0411_iter0000_d000711.csv,0
278,6,2034.2745672116134,2052.324280519664,2059.399624433171,design_optimisation\optim_out_v3_1\candidate_bank\designs\var0578_iter0000_d000578.csv,0
243,6,2034.5059323490207,2041.1945729517645,2041.6103068637299,design_optimisation\optim_out_v3_1\candidate_bank\designs\var0243_iter0000_d000243.csv,0
203,6,2034.524883002735,2042.4758732544135,2043.3619879341604,design_optimisation\optim_out_v3_1\candidate_bank\designs\var0503_iter0000_d001103.csv,0
60,6,2034.557540454564,2044.7948216365608,2047.0038624703443,design_optimisation\optim_out_v3_1\candidate_bank\designs\var0360_iter0000_d001260.csv,0
24,6,2034.5633612778831,2044.3475125368357,2046.9990279578237,design_optimisation\optim_out_v3_1\candidate_bank\designs\var0324_iter0000_d001224.csv,0
212,6,2034.611323848918,2043.4822234588476,2045.2579387845803,design_optimisation\optim_out_v3_1\candidate_bank\designs\var0512_iter0000_d000812.csv,0
273,6,2034.6196811737793,2042.593975741058,2043.4837305864364,design_optimisation\optim_out_v3_1\candidate_bank\designs\var0573_iter0000_d001473.csv,0
3,6,2034.7705330122062,2049.105883959044,2053.937602807118,design_optimisation\optim_out_v3_1\candidate_bank\designs\var0303_iter0000_d001503.csv,0
123,6,2034.8097322912934,2040.793232400847,2041.729114173934,design_optimisation\optim_out_v3_1\candidate_bank\designs\var0423_iter0000_d001323.csv,0
173,6,2034.8189713487272,2041.6283953386626,2041.63242176864,design_optimisation\optim_out_v3_1\candidate_bank\designs\var0473_iter0000_d001373.csv,0
84,6,2034.858724799831,2046.9767382790305,2050.5366199790396,design_optimisation\optim_out_v3_1\candidate_bank\designs\var0384_iter0000_d000984.csv,0
159,6,2034.8640002871314,2044.8385541775951,2047.1009076568562,design_optimisation\optim_out_v3_1\candidate_bank\designs\var0459_iter0000_d000759.csv,0
81,6,2034.8749055859246,2045.6670157215672,2046.967009629018,design_optimisation\optim_out_v3_1\candidate_bank\designs\var0381_iter0000_d000381.csv,0
154,6,2034.8818659037931,2041.291312775282,2041.7662751668186,design_optimisation\optim_out_v3_1\candidate_bank\designs\var0454_iter0000_d001354.csv,0
5,6,2034.9005038688103,2048.8370333841776,2050.622659491899,design_optimisation\optim_out_v3_1\candidate_bank\designs\var0305_iter0000_d001505.csv,0
287,6,2034.904329143863,2044.3654663756909,2045.2607272294567,design_optimisation\optim_out_v3_1\candidate_bank\designs\var0587_iter0000_d000587.csv,0
28,6,2035.0797905448526,2052.670990996179,2054.025489718503,design_optimisation\optim_out_v3_1\candidate_bank\designs\var0328_iter0000_d001228.csv,0
9,6,2035.1031400683732,2047.3411244700487,2050.43291467206,design_optimisation\optim_out_v3_1\candidate_bank\designs\var0309_iter0000_d000609.csv,0
96,6,2035.1142676599366,2042.4407731090287,2043.3130702773658,design_optimisation\optim_out_v3_1\candidate_bank\designs\var0396_iter0000_d000996.csv,0
46,6,2035.1183099037414,2050.530955743696,2054.0521473565987,design_optimisation\optim_out_v3_1\candidate_bank\designs\var0346_iter0000_d000346.csv,0
171,6,2035.1748451523633,2042.1652248915489,2043.5171628877467,design_optimisation\optim_out_v3_1\candidate_bank\designs\var0471_iter0000_d001371.csv,0
189,6,2035.4117845060146,2042.977933428582,2043.3926530456542,design_optimisation\optim_out_v3_1\candidate_bank\designs\var0489_iter0000_d001689.csv,0
31,6,2035.445412983988,2049.2639396285595,2052.3911367464343,design_optimisation\optim_out_v3_1\candidate_bank\designs\var0331_iter0000_d001231.csv,0
187,6,2035.4458646384612,2050.6051581850184,2054.2024524218923,design_optimisation\optim_out_v3_1\candidate_bank\designs\var0187_iter0000_d000187.csv,0
52,6,2035.4679225903321,2047.9173540100394,2050.559038299077,design_optimisation\optim_out_v3_1\candidate_bank\designs\var0352_iter0000_d000952.csv,0
186,6,2035.4739284322898,2052.354081990779,2055.907194544525,design_optimisation\optim_out_v3_1\candidate_bank\designs\var0486_iter0000_d001386.csv,0
262,6,2035.4806055750958,2042.1185189653693,2043.4464253509404,design_optimisation\optim_out_v3_1\candidate_bank\designs\var0562_iter0000_d001762.csv,0
107,6,2035.4807778799448,2039.4473240587008,2039.8912862442307,design_optimisation\optim_out_v3_1\candidate_bank\designs\var0407_iter0000_d000707.csv,0
135,6,2035.681843264612,2044.8464671954262,2047.068113004653,design_optimisation\optim_out_v3_1\candidate_bank\designs\var0435_iter0000_d001635.csv,0
20,6,2035.6846358666826,2041.1695681396548,2041.5725780951636,design_optimisation\optim_out_v3_1\candidate_bank\designs\var0320_iter0000_d000920.csv,0
197,6,2035.7120118252103,2052.7921824854548,2055.94555948831,design_optimisation\optim_out_v3_1\candidate_bank\designs\var0497_iter0000_d001097.csv,0
294,6,2035.7342496655158,2052.2882657712503,2057.6357629302574,design_optimisation\optim_out_v3_1\candidate_bank\designs\var0294_iter0000_d000294.csv,0
232,6,2035.7454654931007,2043.5061596362762,2045.314357647754,design_optimisation\optim_out_v3_1\candidate_bank\designs\var0532_iter0000_d001132.csv,0
158,6,2035.8011943774436,2051.043700256958,2055.9322670763113,design_optimisation\optim_out_v3_1\candidate_bank\designs\var0458_iter0000_d001058.csv,0
163,6,2035.9447765478915,2041.6483195547046,2041.7094177920571,design_optimisation\optim_out_v3_1\candidate_bank\designs\var0463_iter0000_d001363.csv,0
97,6,2035.947366247358,2054.858907247497,2061.0198059230493,design_optimisation\optim_out_v3_1\candidate_bank\designs\var0397_iter0000_d001297.csv,0
281,6,2035.9682801481424,2037.581885292959,2038.026109815778,design_optimisation\optim_out_v3_1\candidate_bank\designs\var0581_iter0000_d001181.csv,0
156,6,2035.9717853146747,2056.7204714452646,2061.1256948898163,design_optimisation\optim_out_v3_1\candidate_bank\designs\var0156_iter0000_d000156.csv,0
176,6,2035.9975764037138,2050.044047284465,2052.289721319349,design_optimisation\optim_out_v3_1\candidate_bank\designs\var0476_iter0000_d000776.csv,0
10,6,2036.004121046811,2048.3622289011532,2050.6350713637567,design_optimisation\optim_out_v3_1\candidate_bank\designs\var0310_iter0000_d000910.csv,0
290,6,2036.0293198956542,2041.723878009152,2041.7537340952429,design_optimisation\optim_out_v3_1\candidate_bank\designs\var0590_iter0000_d000890.csv,0
101,6,2036.0447158786692,2037.7537255483467,2038.199382024484,design_optimisation\optim_out_v3_1\candidate_bank\designs\var0401_iter0000_d000401.csv,0
147,6,2036.0661274498445,2052.390843181195,2055.947389270571,design_optimisation\optim_out_v3_1\candidate_bank\designs\var0447_iter0000_d000447.csv,0
198,6,2036.068990063178,2042.168201376091,2043.5125928960802,design_optimisation\optim_out_v3_1\candidate_bank\designs\var0498_iter0000_d001398.csv,0
211,6,2036.0705951165612,2041.248806545162,2041.696132106853,design_optimisation\optim_out_v3_1\candidate_bank\designs\var0511_iter0000_d001111.csv,0
94,6,2036.0753447241925,2047.915626004515,2050.590545205128,design_optimisation\optim_out_v3_1\candidate_bank\designs\var0394_iter0000_d000694.csv,0
255,6,2036.0765845641984,2053.302782875363,2059.5427752514383,design_optimisation\optim_out_v3_1\candidate_bank\designs\var0555_iter0000_d000855.csv,0
258,6,2036.3038080235544,2052.741557236309,2055.8122102183543,design_optimisation\optim_out_v3_1\candidate_bank\designs\var0558_iter0000_d001758.csv,0
155,6,2036.3647875962922,2047.896588491605,2050.5730817908657,design_optimisation\optim_out_v3_1\candidate_bank\designs\var0455_iter0000_d000755.csv,0
58,6,2036.3745540946784,2044.8008958081557,2047.0298772872313,design_optimisation\optim_out_v3_1\candidate_bank\designs\var0358_iter0000_d000958.csv,0
118,6,2036.379236280217,2045.3226408547719,2047.1000033671612,design_optimisation\optim_out_v3_1\candidate_bank\designs\var0418_iter0000_d001618.csv,0
209,6,2036.38723927744,2041.2635844044555,2041.6891179357665,design_optimisation\optim_out_v3_1\candidate_bank\designs\var0509_iter0000_d000809.csv,0
61,6,2036.5493661960727,2042.5665891367398,2043.4977202475184,design_optimisation\optim_out_v3_1\candidate_bank\designs\var0361_iter0000_d001261.csv,0
92,6,2036.582708524249,2042.4610367352266,2043.3492142234036,design_optimisation\optim_out_v3_1\candidate_bank\designs\var0392_iter0000_d000992.csv,0
76,6,2036.5912665136273,2039.916846873204,2039.9646836440425,design_optimisation\optim_out_v3_1\candidate_bank\designs\var0376_iter0000_d000676.csv,0
87,6,2036.598039681864,2050.0791273872674,2050.52436204084,design_optimisation\optim_out_v3_1\candidate_bank\designs\var0387_iter0000_d000987.csv,0
18,6,2036.6068219030112,2042.60476516403,2043.5233421423866,design_optimisation\optim_out_v3_1\candidate_bank\designs\var0318_iter0000_d001218.csv,0
73,6,2036.6180270355069,2052.7063130960187,2054.0500756496967,design_optimisation\optim_out_v3_1\candidate_bank\designs\var0373_iter0000_d000673.csv,0
12,6,2036.6592491403944,2039.9568740580862,2039.958057959635,design_optimisation\optim_out_v3_1\candidate_bank\designs\var0312_iter0000_d001212.csv,0
88,6,2036.6614197815395,2042.1137553592584,2043.443552086966,design_optimisation\optim_out_v3_1\candidate_bank\designs\var0388_iter0000_d001588.csv,0
253,6,2036.6754498896398,2042.5883240256937,2043.483201697956,design_optimisation\optim_out_v3_1\candidate_bank\designs\var0253_iter0000_d000253.csv,0
70,6,2036.8812987351355,2041.6004498266539,2041.6183182363811,design_optimisation\optim_out_v3_1\candidate_bank\designs\var0370_iter0000_d000670.csv,0
144,6,2036.8923791998338,2045.995490091667,2048.6516208439753,design_optimisation\optim_out_v3_1\candidate_bank\designs\var0144_iter0000_d000144.csv,0
295,6,2036.928060755711,2053.7322737860713,2059.5363446050264,design_optimisation\optim_out_v3_1\candidate_bank\designs\var0595_iter0000_d001795.csv,0
102,6,2036.9383503376046,2045.26447604361,2047.0580992091523,design_optimisation\optim_out_v3_1\candidate_bank\designs\var0402_iter0000_d001602.csv,0
59,6,2036.9407401159642,2050.995366297102,2052.323932222338,design_optimisation\optim_out_v3_1\candidate_bank\designs\var0359_iter0000_d000959.csv,0
130,6,2036.9638904075146,2046.6253020106026,2047.0954024315608,design_optimisation\optim_out_v3_1\candidate_bank\designs\var0430_iter0000_d000430.csv,0
266,6,2037.12400525597,2049.9652473123383,2053.991063286074,design_optimisation\optim_out_v3_1\candidate_bank\designs\var0566_iter0000_d001766.csv,0
175,6,2037.1427623931256,2052.6252494539085,2055.722474402244,design_optimisation\optim_out_v3_1\candidate_bank\designs\var0475_iter0000_d001675.csv,0
